gabl 10012:4:12490,12490,23575,26239
grove 10012:112:167,167,732,834,1897,2364,3471,5883,6065,6106,6155,6349,6603,8864,9618,10045,10291,10427,11925,11965,12611,12636,12657,12911,12996,13028,13106,13225,13477,13772,14840,16195,16220,16477,16784,16792,16801,16817,16934,16939,16951,16958,16992,17006,18286,18434,18712,18787,19250,19366,19571,19646,19669,19692,19714,19724,19821,19881,19939,20406,20636,20847,21212,21219,21221,21515,21583,21598,21686,21697,21711,21750,21961,23246,23293,23330,23349,23404,23415,24683,24998,26074,26150,26820,27718,27751,27773,27808,29089,29097,29215,29971,30563,30711,30792,30862,31678,31679,33576,33615,33681,33793,36208,36342,36537,36636,38280,39813,40286,40497,40616,40826
grovi 10012:2:11277,11277
grow 10012:121:214,214,236,977,1527,1721,2077,2513,3464,6985,7797,9199,9935,9961,10040,11070,11865,11919,11949,12286,12602,12622,12839,13127,14099,15145,15354,15380,15608,15991,16111,16319,16420,16426,16542,16561,16781,17119,17776,18118,18143,18185,18218,18266,18388,18695,18698,18734,18744,18796,18871,19129,19199,19406,19438,19453,19838,20230,20728,20891,20933,20990,21031,21043,21064,21187,21384,21803,22133,22215,22269,22278,22491,22616,22645,22770,22991,23003,23009,23028,23090,23358,23439,23488,23672,23876,23889,23962,24194,24542,24706,24723,24748,24786,24828,24938,25554,27036,27157,27495,27585,29504,31674,31753,31769,31821,31981,32118,32251,32400,32917,33450,34061,36339,36872,38274,38652,39573,39737,40619,40636
grown 10012:17:10111,10111,16480,16609,17039,17892,18170,19054,19870,20539,20573,20614,23604,33027,33197,33590,39550
growth 10012:40:3526,3526,5914,11941,14520,15637,16546,18600,19968,20683,21114,21205,21353,21400,21467,21544,22660,23567,23806,23862,24293,24744,24912,25017,26327,26812,26964,28615,31325,32021,37868,37877,38455,38511,38876,39005,39616,40317,40692,40985
guard 10012:2:6472,6472
guardian 10012:2:7639,7639
guess 10012:6:21424,21424,23670,25802,38184,41109
guid 10012:14:5995,5995,8778,8793,17198,34684,34825,35555,36034,36060,36073,36172,36215,36243
guidanc 10012:3:9376,9376,34208
guileless 10012:3:32195,32195,33149
guilelessli 10012:2:31811,31811
gulch 10012:7:24606,24606,27913,28750,29010,35295,35337
gulf 10012:2:27981,27981
gulli 10012:6:1041,1041,7306,7333,7447,7670
gum 10012:5:16860,16860,25393,29492,29518
gun 10012:9:17227,17227,17239,17326,17369,17376,17417,32386,32417
gurgl 10012:9:3845,3845,7376,11009,13962,28772,28823,28915,31016
gush 10012:3:28386,28386,30984
gust 10012:3:22502,22502,29211
gutenberg 10012:98:2,2,16,22,42,41159,41165,41177,41223,41229,41234,41273,41280,41293,41299,41305,41313,41320,41344,41355,41372,41383,41394,41406,41412,41423,41457,41462,41473,41481,41494,41530,41544,41551,41557,41563,41567,41582,41588,41592,41619,41629,41636,41656,41671,41681,41704,41726,41739,41744,41771,41784,41797,41808,41820,41828,41848,41857,41876,41892,41919,41926,41939,41947,41955,41971,41976,42013,42019,42025,42188,42199,42215,42223,42231,42234,42268,42273,42280,42290,42296,42313,42318,42350,42419,42424,42531,42560,42569,42581,42589,42652,42659,42664,42700,42732,42737,42745
gutindex 10012:2:42747,42747
