sabin 10012:2:38416,38416
scatterin 10012:2:35353,35353
scene 10012:8:5237,5237,6724,6788,14621,18023,24471,28209
sceneri 10012:14:709,709,2228,2291,3754,6076,8835,8856,8926,9435,9624,11741,33697,36193
scent 10012:7:1278,1278,24639,27899,27939,27957,32627
scheme 10012:2:35269,35269
schlagintweit 10012:2:2547,2547
schrund 10012:2:3925,3925
scienc 10012:2:14874,14874
scientif 10012:3:14933,14933,39899
sciurida 10012:2:24954,24954
sciuru 10012:4:24947,24947,26255,26294
scope 10012:4:17742,17742,26760,27187
scorch 10012:2:26887,26887
score 10012:4:3206,3206,4207,16538
scotch 10012:2:10554,10554
scotchman 10012:2:6138,6138
scotland 10012:4:27966,27966,28009,38799
scottish 10012:2:14100,14100
scour 10012:3:12415,12415,34639
scraggi 10012:2:6775,6775
scrambl 10012:4:6487,6487,8223,27531
scrape 10012:3:4863,4863,22898
scratch 10012:2:12541,12541
scream 10012:8:25436,25436,25577,26167,26568,30749,30835,32220
screen 10012:2:12815,12815
scriptur 10012:2:6792,6792
scrubbi 10012:2:16573,16573
scrutin 10012:4:7271,7271,25534,32009
sculptur 10012:20:619,619,701,743,1861,2213,2412,3172,3607,4148,4668,6519,7737,10187,11756,12485,12822,21811,30121,34067
scurri 10012:2:1210,1210
sea 10012:96:388,388,424,992,1491,1855,1961,2146,2212,2485,2566,2597,2656,2687,2779,2788,2828,2852,2861,3076,3097,3241,5018,6242,6460,6739,6937,7775,7786,8092,8616,8637,8839,8954,9458,10893,12312,12453,13742,13865,14166,14259,14443,15441,16231,16284,16583,17032,17996,19010,19148,19664,22132,23035,23768,23796,24287,24752,24800,24892,25960,26292,27708,27734,27903,27946,27947,27963,27975,27995,28287,28836,29137,29255,29595,29722,29791,31263,32770,33398,35050,35116,35585,35595,35680,35753,36498,36533,37905,38199,38463,38556,38585,38959,39204,40677
seam 10012:4:12768,12768,14062,33822
seamless 10012:3:13401,13401,15572
search 10012:13:1175,1175,17170,17401,20634,21534,26405,31889,35770,39476,40816,42648,42689
season 10012:46:4264,4264,4718,7400,9919,11786,11864,13414,14134,14197,15036,16081,18490,18491,20284,22336,23710,24259,24355,24484,27738,28494,30486,30512,31247,32147,33124,33519,35757,36902,37038,37094,37130,37145,37177,37372,37478,37548,37866,38836,38842,39379,39823,39879,39980,40492
seat 10012:4:25855,25855,26213,26420
seclud 10012:2:35937,35937
second 10012:3:22389,22389,34192
secret 10012:3:34361,34361,34725
section 10012:34:1699,1699,3931,4053,5571,6231,10763,16009,16047,16252,16261,19778,19962,19995,20090,20965,26056,29549,32947,33126,35104,35216,36545,36702,37122,38026,41308,41853,41953,42227,42302,42310,42415,42556
secur 10012:13:4654,4654,6914,12454,14615,14617,15268,15630,27049,32631,35019,39488,42286
sedg 10012:11:2024,2024,5882,9769,11497,11871,11915,12652,13891,15583,19462
sedgi 10012:3:6975,6975,9832
sediment 10012:5:4869,4869,12002,12299,21346
sedimentari 10012:3:1790,1790,9047
see 10012:7:3194,3194,9172,9192,12600,27390,35696
seed 10012:49:246,246,14013,16744,16868,16965,16997,17145,17283,17523,19354,20365,20369,20396,20414,20441,20571,20757,21002,21115,23066,23500,24216,24499,24625,25025,25058,25609,25732,25756,25762,25800,25817,25892,25903,25965,26047,26063,26114,26632,30765,36764,37035,37058,37351,37881,38633,40011,40127
seedi 10012:2:33629,33629
seedl 10012:11:16948,16948,20595,20596,20944,20975,20989,21028,22010,26885,38732
seedsman 10012:2:26106,26106
seedsmen 10012:2:26083,26083
seek 10012:27:1036,1036,1198,1653,6293,7046,8570,9193,13188,13332,13334,13636,16900,19576,20074,23381,26804,28527,28809,30136,30357,31167,31546,34851,34916,35485,37692
seeker 10012:6:8853,8853,9517,37775,37777,40537
seemingli 10012:15:819,819,3585,8121,10844,14489,15368,19847,20948,22938,25246,25270,29105,31429,39169
segreg 10012:2:1455,1455
seiz 10012:4:5154,5154,25849,33865
seldom 10012:30:3162,3162,4266,4326,9307,9335,13800,13816,17285,17804,18713,22147,23589,23794,24169,25697,26286,26696,27500,28251,31089,31348,31480,31499,31545,32132,34857,34907,37151,39329
select 10012:4:6494,6494,31314,36460
sell 10012:2:40506,40506
selva 10012:2:16139,16139
semperviren 10012:3:21867,21867,24726
send 10012:13:2689,2689,7320,13203,13550,14707,15766,28275,30748,37546,38061,42080,42489
senecio 10012:2:15847,15847
sens 10012:8:7074,7074,7129,7635,16115,20055,25304,28169
sensit 10012:2:23176,23176
sensuou 10012:2:19328,19328
sentenc 10012:4:28470,28470,41545,41695
sentinel 10012:2:12186,12186
separ 10012:24:782,782,2965,3791,5770,7249,7304,8275,8351,8523,16629,18339,18499,24187,25054,25147,29088,29125,29479,30945,31024,33200,34216,42634
septemb 10012:5:17518,17518,37371,38798,39850
sepulch 10012:2:2327,2327
sepulchr 10012:2:36481,36481
sequenc 10012:2:8057,8057
sequestr 10012:2:13113,13113
sequoia 10012:79:188,188,879,2360,8866,16163,16347,17978,17986,18807,18990,19625,19689,19734,20018,20286,20385,20433,20520,20622,20648,20669,20684,20765,20775,20795,20846,20856,20896,20967,21007,21022,21029,21046,21057,21063,21076,21092,21107,21177,21186,21196,21206,21211,21237,21247,21371,21383,21468,21479,21504,21541,21548,21609,21618,21662,21670,21687,21698,21717,21719,21722,21734,21765,21780,21793,21866,21872,21971,22064,22109,22579,24725,25608,25771,26062,26080,27122,36289
seri 10012:23:1789,1789,1977,2616,3801,3967,4063,4087,4157,7730,11987,12010,13945,15664,21357,24120,28458,31952,35124,35704,37983,40651,40973
sermon 10012:2:36275,36275
serri 10012:2:14580,14580
serv 10012:5:8777,8777,10591,18968,22286
servic 10012:3:24380,24380,42335
sessil 10012:2:18268,18268
set 10012:62:37,37,832,2328,3490,3682,4156,5248,5642,6286,6920,7292,7618,8578,9123,9761,9864,10493,10865,13482,14056,14484,17158,17166,17270,17627,19218,22042,23301,25477,25530,26208,27273,28003,28199,28366,28841,30369,31275,33280,35372,35506,35558,36027,37053,37364,38389,38704,38736,38806,39330,39952,40362,40548,41214,41369,41632,41696,41933,41952,42129,42152
settl 10012:17:2046,2046,3835,4317,4443,4453,9236,23319,25556,26703,29625,35939,37155,37553,38334,40453,40538
settlement 10012:3:40030,40030,40564
settler 10012:4:22892,22892,24381,37612
seventi 10012:10:9278,9278,17822,18841,19703,23705,24720,24927,28393,37174
sever 10012:7:6628,6628,13192,19245,27648,30717,40216
severest 10012:2:34752,34752
shade 10012:34:1153,1153,1185,1199,3950,6939,8701,10083,13011,14744,16144,16323,16679,17512,20151,20303,22281,23420,26234,28293,35472,35766,36723,36876,37331,37945,38095,38111,38291,38314,38361,38413,40631,40646
shadeless 10012:3:24302,24302,40371
shadi 10012:7:10425,10425,18912,20268,24583,33254,38393
shadiest 10012:2:18043,18043
shadow 10012:34:650,650,2447,3811,3818,4077,4092,5605,5613,6678,7258,7309,7347,7712,8410,10794,11055,11654,12192,12436,12971,13286,13433,13924,14561,15306,21786,27722,27731,29799,29974,30707,37890,39666
shadowi 10012:9:3357,3357,9651,9734,12661,12751,28273,31271,35887
shaft 10012:11:11728,11728,14552,14809,17444,17830,18226,20091,22578,27742,35248
shaggi 10012:9:10065,10065,13445,34754,36799,38050,39430,40325,40549
shake 10012:8:20440,20440,22830,26855,27172,30564,31220,39405
shaken 10012:3:7616,7616,18748
shallow 10012:29:1963,1963,2507,4200,7178,11909,11951,13382,13396,13493,13885,15089,15467,15555,15570,15593,28456,28927,30368,30462,30660,31077,31105,31143,32414,33634,35632,36967,40024
shallowest 10012:2:14885,14885
shape 10012:8:1393,1393,17673,19442,26438,33403,36091,38166
share 10012:9:20436,20436,21242,32355,39942,40520,41471,41497,42576
sharp 10012:14:5241,5241,7722,7739,7782,8261,8270,9417,22195,25015,25162,29832,31209,40176
sharpen 10012:2:17350,17350
sharpli 10012:6:5383,5383,10881,20164,25152,31784
shasta 10012:36:116,116,158,281,1398,1460,1623,1695,1736,2593,4182,6227,16374,24566,25710,27056,28339,28374,28380,32986,33277,33321,34424,34578,34779,35628,38929,39038,39118,39263,39311,39365,39539,40541,40698,41096
shatter 10012:6:3769,3769,6757,8272,26888,30044
shearer 10012:2:37645,37645
shed 10012:9:5544,5544,7181,13129,15168,18467,18925,21650,27354
sheep 10012:67:98,98,289,294,300,4275,9227,9317,9326,11169,13829,22023,22289,23652,25750,32614,32618,32666,32687,32714,32782,32803,32840,32854,33038,33070,33082,33114,33123,33348,33383,33776,33855,34089,34184,34222,34257,34378,34420,34433,34489,34569,34643,34656,34665,34678,34711,34734,34759,34787,34841,34860,34868,34912,35003,36593,37618,37644,37874,38602,38640,38668,38698,38720,39981,40016,41122
sheepmen 10012:6:8974,8974,16032,22020,22080,38353
sheer 10012:19:787,787,807,945,3253,4800,7479,7534,8295,9824,10280,12495,13805,13971,27068,29566,31538,34266,40190
sheet 10012:29:552,552,1956,2350,2958,2977,6539,10203,12144,13499,13751,15398,15769,16462,21302,21529,21764,27031,29559,30070,30407,31620,35134,35617,36556,36577,36685,36813,36824
shelf 10012:4:31761,31761,31780,35985
shell 10012:11:16743,16743,18662,23062,24505,25816,25954,25959,29348,31123,31127
shelter 10012:25:968,968,2443,3628,4417,5328,6154,6289,6591,9842,10801,21693,22479,23010,23106,23888,24109,27451,28440,28810,29268,33373,33417,34852,35648
shelton 10012:2:37517,37517
shelv 10012:8:13164,13164,27710,28795,31914,31953,36129,36471
shepherd 10012:8:10547,10547,13309,13324,13326,34235,37839,38700
shift 10012:3:4442,4442,38206
shimmer 10012:8:3984,3984,7054,9859,10037,18409,18529,27369
shine 10012:27:655,655,767,850,3177,4049,4439,5789,6409,9752,10606,11737,13179,13500,14777,18430,24048,24686,24867,27686,29621,30068,30168,32921,33571,38216,40592
shingl 10012:5:14007,14007,17592,17599,17625
shipment 10012:2:39881,39881
shirt 10012:2:4008,4008
shiver 10012:2:30753,30753
shod 10012:2:6966,6966
shoe 10012:6:6967,6967,11206,30647,32011,33945
shone 10012:4:558,558,3458,31269
shoot 10012:17:2451,2451,5581,9778,14856,16626,18555,18885,19027,19088,23474,23624,24172,25284,26718,32430,33461
shore 10012:41:2026,2026,3080,3566,3746,4799,7131,7239,8132,10256,10738,10965,11531,11794,11795,11822,11935,12462,12516,12642,12856,13001,13247,13295,13590,13762,13808,13837,13884,13902,14211,25961,27711,29139,29349,31195,32142,32162,32503,32512,39209
shorn 10012:3:6781,6781,23614
short 10012:42:1534,1534,1799,2982,3089,7326,7731,9174,9795,9887,10804,12029,13415,13936,15951,16019,18614,19719,20222,21287,22199,23476,23978,24274,24841,25638,25847,27174,30788,31324,32910,33374,33918,34529,34650,34755,34781,35677,35767,39407,40577,41127
shorten 10012:2:31500,31500
shorter 10012:3:19128,19128,28399
shortli 10012:6:13337,13337,32548,36218,37551,37718
shot 10012:7:3940,3940,4719,5209,7387,33116,34649
shoulder 10012:20:5164,5164,6509,8002,8003,8288,8983,9182,10003,12694,14093,18381,26244,30286,30871,31119,32336,32993,32995,33611
shout 10012:4:6140,6140,6439,36070
shove 10012:5:4866,4866,13616,14976,28942
shovel 10012:3:1051,1051,35427
show 10012:51:132,132,173,244,1340,1528,1666,2107,2543,2628,3906,4168,4561,4794,5378,6117,6638,7568,7860,8215,8323,8884,11114,12736,13213,14554,14813,14869,16975,17377,19466,19501,20005,20104,20877,21438,21472,22475,22662,25081,25451,27253,29801,33613,34321,34596,35501,36964,37328,38009,40845
shower 10012:8:1573,1573,15206,16097,22306,25992,31216,31422
showi 10012:12:4892,4892,6622,12700,12796,15868,19484,22233,37427,37988,40593,40984
shown 10012:8:1636,1636,4361,9528,21039,21395,22454,36264
shred 10012:2:5142,5142
shrill 10012:2:27800,27800
shrink 10012:2:2508,2508
shrivel 10012:2:22414,22414
shrub 10012:10:11883,11883,15607,16486,22033,25748,38036,38482,38634,38671
shrubbi 10012:3:14277,14277,24911
shrunk 10012:2:29357,29357
shrunken 10012:2:37384,37384
shuffl 10012:4:7187,7187,9552,25004
shun 10012:3:30358,30358,33501
shut 10012:5:3618,3618,7112,25601,32483
shy 10012:5:17938,17938,26622,26706,33115
si 10012:2:17568,17568
sick 10012:2:9130,9130
sickl 10012:3:20439,20439,26412
side 10012:128:364,364,785,1343,1621,1664,1702,2439,2898,2931,3197,4206,4791,4831,4857,4860,5086,5213,5251,5396,5409,5545,5556,5563,5567,5592,5602,5611,5820,5875,5876,6169,6810,6831,7086,7394,7560,7822,8243,8725,9015,9016,9143,9184,9828,9949,10087,10088,10124,10413,10423,10426,10982,11010,11365,11476,11526,11775,12022,12027,12055,12543,12857,13345,13695,13942,13982,14132,14137,14908,14909,14986,15716,15743,15831,15886,16881,16906,17516,17819,17993,18052,18942,19202,19429,20236,20335,22253,22464,22908,24070,24427,24657,25139,25292,25293,26500,26501,26507,29854,30166,30387,30388,30699,30702,30722,30736,30780,30790,30791,31630,31945,33251,33977,34003,34065,34482,35077,35078,35219,36180,38679,39198,39766,40004,40170,40171,40585
sidewis 10012:2:35533,35533
sidl 10012:2:31134,31134
siebold 10012:2:17562,17562
sierra 10012:175:61,61,70,90,100,152,163,335,365,477,560,601,1291,1510,1581,1744,1794,1840,1882,1969,2082,2220,2290,2442,2474,2590,2611,3116,3345,3349,3443,4129,4229,4516,4589,4901,5056,5283,5368,5520,5630,5717,5737,6036,6120,6226,7830,7892,8593,8694,8719,8903,9371,9387,10306,10485,10503,11244,11308,11513,11717,12147,12410,13925,14239,14416,15987,16184,16188,16309,16425,16493,16502,16505,17577,17902,18100,18119,18707,19107,19386,19419,20009,20192,20393,20472,20625,21157,21171,21296,21422,21448,21715,21754,21756,21796,21801,21839,21864,22087,23731,23734,23843,24029,24134,24225,24271,24543,24558,24571,24589,24973,25038,25061,25740,26041,26129,26610,26651,26915,27006,27080,27199,28035,28109,28223,28325,28450,28521,28612,29737,29745,29889,30087,30262,30314,31608,32525,32584,32623,32715,32754,33128,33301,33480,34587,34774,34877,34976,35023,35038,35112,35194,35208,35392,35575,35642,35656,35842,35852,35894,36464,36519,37031,38365,38479,38582,38847,38899,38928,39314,39758,39770,41045,41091
sift 10012:10:14671,14671,15079,16669,24017,27997,29846,30142,30747,38201
sight 10012:39:340,340,4135,5060,5163,5951,6399,6665,6958,8052,8236,8555,8696,9009,9815,10668,10779,11185,12179,13858,14358,15752,16598,17403,20036,23295,26577,30135,30622,31999,32626,32817,32920,33801,33970,36026,36947,36973,37928
sign 10012:8:7265,7265,8772,17393,17795,22930,30584,33376
signal 10012:2:26590,26590
signifi 10012:2:17396,17396
signific 10012:5:3640,3640,10757,16075,16928
silenc 10012:8:7372,7372,8102,13595,22834,22922,25461,36426
silent 10012:17:1320,1320,2309,5011,6424,6673,14677,15186,22820,25829,26625,28459,29426,30448,30459,39574,40351
silici 10012:3:3244,3244,16858
silk 10012:2:5178,5178
silken 10012:3:1346,1346,36377
silki 10012:9:5263,5263,5417,10631,14244,14710,14749,27804,31739
sill 10012:2:31840,31840
silver 10012:49:195,195,204,209,211,889,3461,3527,5337,6410,7853,7948,9957,12675,12724,16012,16057,16349,17780,17988,18015,18089,18093,18383,18438,18462,18552,18981,18988,19098,19134,19233,19278,19403,19506,19629,20726,22750,24980,25911,26994,27001,27395,29561,29993,30007,33704,39008,40595
silveri 10012:12:3733,3733,5264,6066,9758,11734,12527,24019,27728,30245,30466,36234
similar 10012:6:3293,3293,32112,38837,38884,41003
similarli 10012:2:32004,32004
simmer 10012:2:40870,40870
simpl 10012:9:344,344,2113,5307,16258,17803,18540,20158,21009
simplest 10012:3:8063,8063,21956
simpli 10012:11:6298,6298,6334,8146,8733,9405,20712,21204,28564,33401,34367
simplic 10012:6:392,392,10331,12016,20129,36316
simultan 10012:10:5749,5749,12211,16466,21003,28242,28604,28643,35197,36907
sinewi 10012:2:25642,25642
sing 10012:43:667,667,844,4435,4701,4703,5016,5890,6826,9680,10118,11183,13100,17487,27133,27477,28095,28260,28435,30424,30436,30511,30527,30905,30936,30960,31033,31052,31064,31227,31231,31346,31398,31575,32031,32068,32084,32192,32421,33781,39628,40573,40897
singer 10012:2:32444,32444
singl 10012:40:4031,4031,4190,5303,7263,7510,9340,12278,13512,13578,15260,17629,20367,20400,20640,21322,23296,23366,23885,24171,24260,25619,25899,26773,30588,30887,31482,34133,34176,34772,35740,36349,37419,37589,38174,38501,38920,39844,40005,42724
singli 10012:6:2435,2435,14308,16570,22646,31242
singular 10012:2:16908,16908
singularli 10012:8:10679,10679,11498,18816,22808,22951,23113,30271
sink 10012:7:3233,3233,4647,35247,35725,36946,41057
sinuou 10012:2:7944,7944
sir 10012:2:26140,26140
sister 10012:3:1473,1473,2644
sit 10012:8:25588,25588,26560,26612,32139,32209,32357,37729
site 10012:6:31756,31756,41742,42397,42645,42655
situat 10012:26:7495,7495,8932,9886,10100,11384,12275,13395,15505,18293,19057,19873,20529,22587,22651,22701,25303,27575,31732,31823,31990,32005,34196,34675,35051,40415
sixteen 10012:2:11667,11667
sixteenth 10012:2:20373,20373
sixth 10012:3:19661,19661,32558
sixti 10012:14:2427,2427,9277,11669,15999,17821,17936,19683,20590,22166,22759,24719,24779,31927
size 10012:55:780,780,901,1012,2618,2654,2717,2743,2775,3809,4025,4758,11432,11566,11587,11625,12337,15122,16839,16841,16937,17020,17681,18168,18323,18538,18945,19133,19860,19868,19954,20062,20073,21049,23501,23973,24626,24916,25858,25898,25904,26082,29193,30275,32776,32784,32931,33032,36386,36559,39127,39392,39438,40487,40979
sketch 10012:15:5938,5938,6173,8576,10512,15031,17249,18365,24150,26222,26340,26842,35404,37766,40433
skil 10012:2:39696,39696
skilfulli 10012:3:37669,37669,39897
skill 10012:5:8773,8773,33330,34204,37626
skim 10012:2:14896,14896
skin 10012:4:10704,10704,17216,30074
skip 10012:2:32413,32413
skirmish 10012:2:26307,26307
skirt 10012:2:24406,24406
skull 10012:3:34290,34290,34303
sky 10012:62:485,485,644,839,1115,1319,1591,2253,2297,3652,4271,4976,4997,5002,5109,5171,5246,5305,5424,5479,5813,5840,6049,6448,6895,7098,7706,7954,8434,9095,9431,9953,10303,10915,11738,13084,14748,15132,15166,15251,19326,19538,19766,20301,23535,25712,27208,28752,28799,29583,29788,29869,29928,29952,30014,30222,33426,34169,36684,37160,37239,39626
skylark 10012:2:30987,30987
skylight 10012:2:4683,4683
skyward 10012:2:18562,18562
slab 10012:2:1086,1086
slander 10012:2:15022,15022
slant 10012:3:30305,30305,38616
slate 10012:10:1072,1072,1079,1377,7463,9542,10182,10357,35060,35643
sleep 10012:16:1784,1784,3677,8487,10246,10829,15293,19288,23240,23267,28757,29331,33431,33675,35330,37374
sleepi 10012:4:9791,9791,26824,35338
sleev 10012:3:4009,4009,17214
slender 10012:34:5269,5269,7723,11726,13152,15091,16639,16786,17481,18055,18224,18609,20144,20157,20340,21066,22513,22607,22955,22967,23045,23103,23226,23255,23472,24045,24650,24717,24849,27158,27617,31003,37399,37423
slenderest 10012:2:27167,27167
slept 10012:2:40944,40944
slide 10012:4:4853,4853,8259,8744
slight 10012:8:7550,7550,8780,14988,26942,31792,34392,36976
slightest 10012:5:9373,9373,12769,27294,34197
slightli 10012:7:943,943,7286,34093,36913,37748,38256
slim 10012:3:17910,17910,28881
slip 10012:12:1332,1332,7192,9551,10212,12289,13553,15546,21134,28127,28661,34899
slipperi 10012:3:8280,8280,34142
sliver 10012:2:30056,30056
slope 10012:53:986,986,1994,2969,4199,4246,4334,4970,4988,5501,5962,8227,8290,9232,9353,12129,13905,13928,15400,17784,18026,18121,18173,18762,19428,19512,19768,21366,23001,23332,24295,24333,24454,26399,28195,30406,32644,32733,33943,34187,35752,36542,36837,38013,38118,38614,38622,38894,39154,39804,40295,40654,41001
slow 10012:9:1905,1905,5889,6499,15141,15514,26017,31354,40079
slower 10012:2:28673,28673
slowli 10012:13:1967,1967,4358,6545,13210,15464,17232,20054,25580,35831,38827,39066,39398
sludg 10012:7:4542,4542,4771,28657,30838,31163,31176
sludgi 10012:3:4743,4743,31406
sluggish 10012:3:28469,28469,40083
sluic 10012:3:28873,28873,35994
slung 10012:2:24417,24417
sly 10012:2:33446,33446
slyli 10012:2:25482,25482
small 10012:110:1524,1524,1649,2055,2197,2368,2398,2421,2436,2815,3246,3559,3802,3869,4064,4192,4379,4499,4682,4704,4817,4992,6740,7377,8357,8423,9245,9930,10129,11007,11573,11596,12081,12112,12181,12188,12273,12845,13381,13620,13887,14309,14449,14827,14871,15216,15311,15947,15965,16196,16316,17704,17811,18711,19220,19480,19622,19645,19675,20089,20241,20334,21358,22015,22145,24202,24545,24557,24608,24649,24742,25779,26484,26699,27065,28551,28781,28791,29386,31256,31341,31495,31924,32859,33345,34390,34535,34628,35611,35921,36024,36086,36632,36969,37950,38125,38438,38443,38523,38850,39359,39402,39816,39856,39985,40418,40481,40747,42453,42527
smaller 10012:26:418,418,429,972,978,1077,1480,1984,2511,4844,5727,11311,11615,12105,13367,19297,21594,21601,21638,24707,25782,26070,32974,38295,39489,40210
smallest 10012:9:1986,1986,2772,10098,11581,19481,20319,29770,33738
smash 10012:2:19929,19929
smell 10012:2:3225,3225
smilax 10012:3:29662,29662,38110
smile 10012:3:8097,8097,29676
smithsonian 10012:2:32720,32720
smoke 10012:8:1594,1594,1839,7624,17243,17346,24466,32347
smolder 10012:2:39079,39079
smooth 10012:46:467,467,481,646,1310,2366,3017,3183,3195,3215,5416,5869,7784,8363,10201,10244,10348,10799,10979,14242,14367,14566,15281,15911,15957,16204,17441,18724,20212,23482,28088,28924,30110,30180,30971,31101,31279,32889,33061,33676,34387,36648,36803,37984,39156,40925
smoother 10012:3:7563,7563,23616
smoothest 10012:2:7188,7188
smoothli 10012:7:528,528,13566,14338,15801,30288,40586
smother 10012:3:28937,28937,30625
snag 10012:5:30378,30378,31393,31421,31477
snake 10012:2:35512,35512
snatch 10012:2:29721,29721
snip 10012:3:14377,14377,25845
snout 10012:5:1558,1558,8205,8317,11777
snow 10012:210:66,66,273,278,503,585,846,1000,1295,1329,1686,1844,1889,1947,2101,2138,2262,2384,2450,2516,2538,2554,3184,3189,3549,3896,3921,3937,4098,4108,4119,4139,4195,4226,4227,4260,4311,4312,4359,4373,4440,4451,4479,4495,4501,4524,4533,4570,4621,4655,4714,4738,4787,4804,4835,4851,4886,4905,4908,4927,4935,4965,5021,5044,5208,5254,5345,5398,5455,5483,5497,5514,5536,5578,5621,5694,5801,5863,6010,6193,6284,6540,6680,7064,7139,7183,7243,7335,7411,7921,7953,8507,8532,8989,9447,9604,9640,9773,9975,10311,10994,11205,11381,11831,12036,13142,13148,13209,13409,13544,13869,13959,13974,14113,14135,14171,15018,15162,15228,15245,15252,15275,15290,15350,15895,17962,18400,18624,18927,19078,20425,21263,21417,21462,21567,22294,22523,22530,22992,23201,23215,23234,23260,23278,23413,23609,25550,25715,25729,25737,26751,26765,26889,27073,27652,27720,28039,28228,28244,28263,28336,28488,28502,28513,28577,28586,28644,28649,29750,30173,30453,30478,30524,30565,30581,30609,30637,30646,30725,30737,30745,30773,30868,30875,31149,31154,31277,31307,31389,32339,32435,32590,32646,33274,33284,33317,33318,33333,33358,33370,34941,34947,34954,36239,38590,38956,38972,39142,39556,39591
snowbank 10012:2:15763,15763
snowfal 10012:6:2765,2765,4366,8343,8352,14128
snowflak 10012:3:4514,4514,39691
snowi 10012:27:563,563,1133,4568,4585,6510,7751,8693,8927,9925,10115,10505,11225,11255,13186,14497,15067,28427,29368,30195,32384,33806,34077,34795,36518,39188,39238
snowless 10012:3:5385,5385,30779
snug 10012:3:6815,6815,15925
snugli 10012:3:22907,22907,23638
soak 10012:2:27315,27315
soar 10012:2:28079,28079
social 10012:5:10475,10475,26251,36874,38401
sod 10012:18:1084,1084,10595,13222,13299,13898,14279,14295,14315,14641,14685,14887,15244,15315,15928,22493,33261,36949
soda 10012:3:14476,14476,32369
soft 10012:18:6978,6978,11895,13897,15912,16755,22522,23214,23279,24910,25421,26447,26469,32886,34381,34399,34940,40629
soften 10012:3:8253,8253,29494
softli 10012:4:19552,19552,29964,30132
soggi 10012:2:37097,37097
soil 10012:72:436,436,472,1113,2045,2159,2351,2411,6551,6588,6634,11851,11853,11867,11937,12130,12285,12828,13908,14517,14960,15394,15430,15568,15571,15594,15770,15792,15805,15820,15892,16271,16473,16518,16543,16883,17991,18114,18476,18721,18800,19058,19145,20584,20763,20869,20932,20995,20999,21034,21074,21127,21150,21508,21521,21729,21757,21805,22698,22748,22897,23136,23871,24159,26314,26320,27035,27046,28993,37942,38613,41065
