pace 10012:2:17367,17367
portion 10012:98:352,352,1421,1827,1925,2428,2824,3050,3132,3252,3367,3770,3814,3885,4263,4372,4402,4993,5392,5715,6224,6321,6496,8283,8310,9021,9041,9155,9406,9412,9493,10791,11352,11519,11599,12473,12561,12567,12639,13576,13901,14152,14886,14992,15836,16527,16895,18307,18779,19756,20269,20750,20829,20980,20984,21518,21726,21767,22181,22767,23749,23845,25048,26049,26085,27025,27148,28043,28648,28670,28676,28689,29339,30661,31169,31311,31776,31782,31900,31947,33168,33552,34286,34370,34395,34497,37268,37864,38327,38409,38692,39422,39710,39757,39972,40182,41004,41049
posit 10012:19:7524,7524,7653,9424,11433,11749,11984,16269,16509,18493,22190,23753,23883,26408,30879,33841,33989,34547,38615
possess 10012:16:4872,4872,7634,9472,10755,16293,21776,25219,27501,30013,32096,32624,37501,37973,41348,41885
possibl 10012:7:2388,2388,5704,17764,22828,34775,42065
post 10012:20:3100,3100,6564,16458,17139,17626,20861,21426,21446,21830,21849,22139,27039,41601,41640,41660,41736,42343,42676,42704
posterior 10012:2:34369,34369
postur 10012:2:25558,25558
pot 10012:4:4950,4950,15966,30293
potentilla 10012:2:38528,38528
pouch 10012:3:15014,15014,17144
pounc 10012:2:34904,34904
pound 10012:9:9390,9390,26067,33024,37633,37674,37731,38598,39869
pour 10012:38:1542,1542,1761,1812,2484,2756,2912,3387,3424,5851,6363,7233,8269,9910,10819,10900,11457,13078,13966,15348,18014,19231,19557,21562,21634,23299,25428,27268,28605,29247,29853,31847,33568,36690,37217,38202,39670,40575
power 10012:20:4346,4346,6867,10613,11976,12033,12177,13388,18110,22356,30244,31135,31378,33219,34418,36105,39134,39248,39252,39465
practic 10012:5:8216,8216,8728,9402,41258
prairi 10012:6:14348,14348,17121,22333,36140,36725
pre 10012:6:2108,2108,2234,3051,8173,35100
preach 10012:2:22840,22840
preced 10012:5:2425,2425,5655,35192,37075
preciou 10012:6:8575,8575,14803,14892,15083,23418
precipic 10012:28:296,296,3608,3874,7241,7285,7555,7610,8296,9008,9571,9909,12727,13557,13874,13972,15959,21394,31570,31948,31974,32640,34148,34267,34491,34512,35603,36472
precipit 10012:11:5088,5088,5943,6488,11351,13811,14160,18749,19745,31529,32581
precis 10012:4:7654,7654,14594,25734
preclud 10012:3:17763,17763,22827
predecessor 10012:2:4154,4154
predestin 10012:4:2218,2218,2223,9368
predetermin 10012:2:9375,9375
predomin 10012:3:9539,9539,32894
preemin 10012:4:2732,2732,22689,25218
preemption 10012:2:21761,21761
prefer 10012:5:25910,25910,31508,34925,36465
prei 10012:2:26723,26723
prepar 10012:9:4928,4928,4964,9297,20762,21101,39146,41837,41840
preponder 10012:2:17839,17839
presenc 10012:8:7024,7024,9673,17850,21402,21403,26199,31750
present 10012:57:133,133,704,1731,1797,2106,4201,6480,8885,12229,12309,12377,12387,12593,14263,15034,17245,17347,17924,18082,18200,18223,20197,20644,20845,20852,20973,21008,21190,21437,21460,21736,21791,21799,21843,27371,29774,29824,30085,30667,31775,31951,33910,33988,35147,35176,35182,35231,35281,35621,37498,37761,39106,39576,39911,40135,41125
preserv 10012:13:1583,1583,3129,3285,6534,10327,16867,17382,21375,21429,21946,25459,41401
presid 10012:2:39834,39834
press 10012:12:1001,1001,3011,3545,6805,9976,14578,19252,19307,20238,23613,36659
pressur 10012:3:12560,12560,39255
preternatur 10012:2:7631,7631
pretti 10012:12:2782,2782,11348,11448,23389,23392,24320,34622,34785,35570,37771,39487
prevail 10012:3:17843,17843,37443
prevent 10012:15:3834,3834,5132,11627,15531,16253,17810,18064,22184,25699,25843,29411,34710,35673,41444
previou 10012:5:20642,20642,25506,31903,41188
previous 10012:2:31330,31330
price 10012:3:37607,37607,37636
prick 10012:3:14307,14307,25422
prickl 10012:2:26450,26450
prickli 10012:3:24609,24609,26189
priest 10012:3:17769,17769,36277
primari 10012:3:2550,2550,18675
prime 10012:14:201,201,15507,18922,18979,19262,19830,20007,20952,20958,21846,21848,28455,37251
primev 10012:2:37919,37919
primula 10012:2:12852,12852
princ 10012:3:2748,2748,20471
princip 10012:11:2676,2676,7931,9480,10322,11003,15442,23816,25936,40674,42364
print 10012:4:41195,41195,41257,42593
prior 10012:5:3346,3346,21770,21778,42677
prize 10012:4:17579,17579,18704,39733
problem 10012:2:42125,42125
proce 10012:3:6731,6731,31573
proceed 10012:2:6152,6152
process 10012:7:3849,3849,12359,15511,16452,36433,41718
proclaim 10012:4:1229,1229,18084,26198
procur 10012:10:10732,10732,19961,24254,25908,26052,31076,32550,34355,37804
produc 10012:24:46,46,5535,5595,6530,7116,10849,12568,14940,15428,15609,16797,17634,18950,20395,27876,29198,29908,37677,39120,39866,41179,42578,42668
product 10012:9:437,437,10720,20404,36318,37683,38500,38841,42195
prof 10012:2:2847,2847
profan 10012:2:26582,26582
professor 10012:3:32718,32718,42564
profit 10012:7:35245,35245,35271,37628,39933,41805,42322
profound 10012:5:27787,27787,30320,35968,39344
profoundli 10012:4:6207,6207,9801,36233
profus 10012:8:10435,10435,14076,14862,19206,36439,38070,40633
progenitor 10012:2:13691,13691
progress 10012:11:4422,4422,7542,8257,21156,28632,31355,33818,33954,34324,34509
prohibit 10012:2:42505,42505
project 10012:100:1,1,15,41,1556,4553,6125,7109,7549,8433,10981,12517,15744,24426,35895,38687,41158,41164,41222,41228,41233,41272,41279,41292,41298,41312,41319,41343,41354,41371,41382,41393,41405,41411,41422,41456,41461,41472,41480,41493,41529,41543,41550,41556,41562,41566,41581,41591,41618,41628,41635,41655,41670,41680,41703,41725,41738,41770,41783,41796,41807,41819,41827,41847,41856,41875,41891,41918,41925,41938,41946,41954,41970,41975,42012,42018,42024,42187,42198,42214,42222,42230,42233,42267,42272,42279,42289,42295,42312,42317,42349,42418,42423,42530,42559,42568,42580,42588,42658,42663
prolong 10012:2:21473,21473
promin 10012:4:18283,18283,41554,41693
promis 10012:5:20971,20971,24206,36216,40457
promisingli 10012:2:20991,20991
promontori 10012:3:2995,2995,11537
promot 10012:4:41283,41283,41465,42196
prompt 10012:2:17220,17220
promptli 10012:2:40231,40231
pronounc 10012:2:25178,25178
proofread 10012:4:51,51,41184,41965
proper 10012:4:10400,10400,17896,39674
properli 10012:2:16515,16515
properti 10012:4:17703,17703,41331,41992
proport 10012:7:5379,5379,20031,22170,27012,29899,38167
proprietari 10012:2:41714,41714
prospect 10012:5:35951,35951,35991,40470,40524
prospector 10012:5:8847,8847,8912,17614,40446
prosper 10012:2:37910,37910
prostrat 10012:6:21274,21274,22046,23292,23469,23591
protect 10012:19:3261,3261,4093,4112,12333,16678,16706,19249,21629,21657,21682,22101,23128,26075,28307,37749,38348,41227,41278
protrud 10012:2:18893,18893
protuber 10012:3:31794,31794,34393
proud 10012:2:17128,17128
prove 10012:5:1706,1706,6374,10699,35270
provid 10012:13:40153,40153,41614,41721,41751,41793,41861,41895,42099,42109,42185,42262,42285
provinc 10012:2:25062,25062
provis 10012:4:6907,6907,42170,42174
prudent 10012:3:25527,25527,40101
pseudotsuga 10012:2:18575,18575
public 10012:10:41193,41193,41259,41430,41436,41597,41966,42430,42437,42596
publish 10012:4:627,627,28037,29180
puf 10012:3:29705,29705,30573
pull 10012:2:25837,25837
pulpit 10012:2:36272,36272
puls 10012:5:3983,3983,19609,25594,27658
punctuat 10012:2:25309,25309
pungent 10012:2:25922,25922
punish 10012:2:26030,26030
punit 10012:2:42060,42060
purchas 10012:2:37518,37518
pure 10012:27:1241,1241,3943,3959,5843,6332,7215,8367,10871,11540,11808,13697,13860,13958,14404,14747,14921,21931,21936,27216,27296,29534,32288,35736,37922,39568,39688
purest 10012:3:1306,1306,27228
puriti 10012:2:10908,10908
purpl 10012:50:507,507,516,1020,3508,5830,6058,6426,7006,7088,8405,10639,11890,12690,12866,13013,14079,14327,14563,14713,14761,15056,17514,18412,19209,19356,19550,22375,22977,23042,23519,24502,24809,25964,26442,27746,27777,27925,29465,29798,33244,34118,36686,36880,37071,37091,37211,37345,37435,38016
purplish 10012:6:6050,6050,17448,19115,20265,23483
purpos 10012:8:12178,12178,21923,26151,29326,38707,41249,42141
pursu 10012:15:5901,5901,9012,12547,13315,21612,26347,26702,26726,27293,32115,33131,34494,35315,38839
pursuit 10012:4:14934,14934,17123,19849
push 10012:25:3483,3483,4130,5952,6314,6466,6959,13729,15356,17945,18137,20210,22713,23799,23906,24052,24170,27247,28512,29402,29667,31224,35012,39346,40123
put 10012:11:5945,5945,11524,11658,16088,18878,20161,23265,26452,30801,32091
puzzl 10012:2:26454,26454
