dabbl 10012:2:40605,40605
delici 10012:11:4016,4016,17549,17688,19549,23058,27266,27870,31299,33094,36403
delight 10012:33:684,684,956,1112,2164,3868,5688,9103,10072,12631,13108,13726,14562,14601,15665,15992,16016,16564,17932,19339,20451,24870,27327,29450,29475,30519,31302,32287,33158,35726,36311,38821,39419
delightfulli 10012:7:1240,1240,9868,14631,23051,24024,30676
deliver 10012:2:7658,7658
dell 10012:15:8540,8540,18913,24584,26803,27379,27809,28811,29244,29510,29694,35925,35955,36631,39793
delta 10012:3:37735,37735,39157
delug 10012:2:1809,1809
demand 10012:6:17598,17598,23549,25551,26046,42120
demeanor 10012:3:18551,18551,34758
demolish 10012:3:25884,25884,26424
demonstr 10012:3:12402,12402,20736
denial 10012:2:10714,10714
dens 10012:28:4625,4625,5425,13632,13635,15944,16127,16153,18063,18696,20195,20363,21292,22183,22261,22492,22718,23123,23987,24003,24055,24743,24865,24909,26981,34855,39745,39759
denser 10012:4:21399,21399,25264,28800
densiflora 10012:2:24693,24693
densiti 10012:2:29222,29222
deodar 10012:2:16147,16147
departur 10012:3:20242,20242,24151
depend 10012:16:2229,2229,4117,11430,11970,16380,17495,21411,25330,32376,38735,38855,39809,40008,40224,42426
depict 10012:2:15040,15040
deplor 10012:5:17653,17653,26907,37917,40054
deposit 10012:10:3826,3826,4374,11947,12298,16520,21806,35140,35261,40488
deprec 10012:2:27854,27854
deprecatingli 10012:2:27260,27260
depth 10012:36:617,617,661,672,1458,1577,2175,2239,3953,4234,4303,4324,4757,4778,4938,6251,9514,11243,11511,11809,12552,12962,13408,13698,14116,14121,16882,26319,29906,30256,31318,35228,35249,36226,36430,37313
deriv 10012:16:1684,1684,10309,17661,20702,23757,23835,24574,28335,32847,35283,41251,41450,41525,41596,41806
descend 10012:28:2572,2572,2587,2594,2680,2718,2776,3185,7351,7502,8225,9394,9963,10314,15731,18134,18686,19744,25096,25369,25453,25625,26192,28058,28662,29072,33288,36835
descent 10012:3:34516,34516,40967
descri 10012:3:8708,8708,26018
describ 10012:5:9483,9483,32544,33078,34276
descript 10012:7:5987,5987,9440,12433,29999,30950,31521
desert 10012:17:328,328,1089,6421,6428,6433,6515,6888,8706,11120,11147,13472,16496,34602,40555,41063,41069
desicc 10012:2:21495,21495
design 10012:3:31692,31692,39176
desol 10012:10:1232,1232,2086,6789,6982,7866,13862,22029,32492,37831
desper 10012:4:1047,1047,30729,35302
despis 10012:2:1246,1246
destin 10012:3:2270,2270,10262
destroi 10012:15:1829,1829,11162,11191,13349,16959,16993,19924,22012,22316,24731,36598,38699,41341,41882
destroy 10012:4:21106,21106,37838,37856
destruct 10012:20:11215,11215,17591,20835,21937,21963,22018,22084,22299,26909,26958,28253,28688,36988,37925,38600,38719,39171,41116,41131
detach 10012:9:2801,2801,4735,5076,7676,13667,28068,29056,41667
detail 10012:5:397,397,5990,12389,28135
detect 10012:8:8775,8775,18512,18561,26175,27941,30962,31815
deterior 10012:2:41130,41130
determin 10012:11:5616,5616,8237,8795,16281,17378,20001,20732,27323,31331,42491
deton 10012:2:29835,29835
detritu 10012:12:11414,11414,12165,12335,13386,15810,29151,29172,35908,39121,39148,40485
devast 10012:2:22057,22057
develop 10012:35:2124,2124,2161,2217,4915,5679,5742,7516,9883,10095,10278,14946,17035,18305,21622,22668,23137,24240,26597,26756,29035,29811,31956,32654,35076,35572,35865,35906,36281,36436,37879,37976,39799,41086,41100
devil 10012:2:9079,9079
devot 10012:2:10428,10428
devour 10012:2:22036,22036
devout 10012:3:6711,6711,28197
dew 10012:6:2269,2269,19607,26748,38499,39013
dewless 10012:2:1225,1225
dexter 10012:2:31139,31139
di 10012:11:8436,8436,12369,16969,19913,22852,28185,35118,36414,37566,40189
diagon 10012:2:9904,9904
diamet 10012:46:1647,1647,4411,16616,16850,17045,17081,17510,17529,18179,18192,18599,18733,18813,19063,19163,19864,19876,19900,19945,20098,20101,20390,20730,22156,22168,22512,22555,22705,23019,23678,23698,23703,23774,23969,24490,24619,24782,24904,24926,26846,30052,31700,32934,36719,37418
diamond 10012:6:9884,9884,9902,9946,15084,27358
dicranum 10012:2:14801,14801
didn 10012:2:34472,34472
die 10012:6:9106,9106,20650,23540,26695,39983
diego 10012:5:39876,39876,39884,39922,40186
diet 10012:2:34919,34919
differ 10012:19:3046,3046,5588,5596,5728,9152,12320,12325,13537,15028,15673,18320,29192,32861,33031,35919,37941,37990,39754
differenti 10012:2:27516,27516
difficult 10012:6:5216,5216,6327,9288,26688,30949
difficulti 10012:9:6255,6255,8314,16234,23586,27610,30649,34314,40715
diffus 10012:2:29481,29481
dig 10012:4:15929,15929,35502,38617
digger 10012:2:32246,32246
digit 10012:3:42725,42725,42726
dignifi 10012:3:18549,18549,34757
digniti 10012:2:26462,26462
dilapid 10012:2:35355,35355
dilig 10012:2:20633,20633
dim 10012:4:3247,3247,26694,29865
dimens 10012:4:17074,17074,17300,24832
diminish 10012:7:1011,1011,2518,2742,20857,21501,28451
diminut 10012:2:6107,6107
dimli 10012:2:5432,5432
dimpl 10012:2:30184,30184
din 10012:2:32069,32069
dinner 10012:2:37641,37641
dip 10012:11:5880,5880,8466,12871,13569,15718,28974,30366,31131,32121,35254
direct 10012:35:2904,2904,3205,3373,5492,5587,7151,9186,9338,9506,9532,10641,11425,11439,12026,12463,12546,13466,13967,15248,15685,17140,17842,18428,23916,24432,24452,31611,31877,35150,36924,37159,39068,41041,42057
director 10012:2:42411,42411
directori 10012:3:42682,42682,42714
dirt 10012:6:3888,3888,3900,10750,16752,35252
dirti 10012:2:33059,33059
disadvantag 10012:2:40263,40263
disagre 10012:2:24644,24644
disappear 10012:16:3760,3760,3892,9979,10176,11582,12153,15059,21823,22552,27706,29160,29867,31208,34360,35817
disappoint 10012:3:5203,5203,6080
discern 10012:3:6685,6685,11412
discharg 10012:12:1958,1958,2729,2786,2849,2881,2887,2946,11379,14162,16964,39579
disclaim 10012:6:42007,42007,42030,42143,42150,42162
disclos 10012:3:7217,7217,9187
disconcert 10012:2:33899,33899
discontinu 10012:2:41888,41888
discourag 10012:2:40238,40238
discov 10012:41:711,711,3353,3929,4134,6490,7218,7443,8190,8448,8512,8611,9750,10625,10687,11504,13228,13248,14796,16042,17018,17066,17430,19384,21617,21876,25487,27057,32258,33683,33820,34953,35094,36983,37728,39512,40566,40859,40885,41908,42070
discover 10012:2:17084,17084
discoveri 10012:4:3378,3378,4126,9525
discredit 10012:2:34713,34713
discrimin 10012:4:14683,14683,19271,39444
discuss 10012:5:12394,12394,16980,35448,35470
diseas 10012:2:19920,19920
disembowel 10012:2:35299,35299
disintegr 10012:4:3292,3292,16436,33407
disk 10012:5:9660,9660,14187,37431,41996
dislik 10012:3:26642,26642,29684
dislodg 10012:3:4873,4873,30742
dismount 10012:2:28179,28179
dispar 10012:2:39437,39437
dispens 10012:2:21282,21282
dispers 10012:2:26592,26592
displac 10012:4:4768,4768,4861,8784
displai 10012:20:353,353,1703,2755,2997,5040,10328,11303,12932,20121,27774,30243,33932,33964,41448,41521,41569,41684,41694,41779
dissip 10012:4:14941,14941,15771,15788
dissolv 10012:7:14624,14624,20116,20223,28660,31159,38231
distanc 10012:38:1138,1138,4136,6209,6639,7801,7908,8720,9276,9622,9888,9929,10416,11262,13478,14385,18139,19654,19702,19720,20067,20672,22427,23559,24301,27828,31365,32745,33007,34074,34723,35581,36656,36829,37425,38023,39484,40858
distant 10012:7:4549,4549,5709,12170,17264,19516,24152
distil 10012:2:27908,27908
distinct 10012:17:638,638,1712,1914,1979,2947,5376,14045,18343,22489,27511,28599,29093,32676,34786,36802,36830
distinctli 10012:4:7390,7390,25599,27459
distinguish 10012:8:16190,16190,18243,18516,19114,20695,32000,34722
distress 10012:8:1181,1181,29262,30823,30880,30910,39997,40072
distribut 10012:56:50,50,1483,4075,4413,9479,11350,14424,16078,16116,16377,18778,19679,20624,20879,21491,21503,21743,21792,21838,23722,24600,24967,25098,26283,27024,32528,32805,32807,37906,38580,39707,41183,41205,41221,41276,41285,41288,41446,41523,41573,41607,41644,41686,41708,41723,41782,41795,41917,41924,42023,42197,42213,42238,42442,42579
distributor 10012:2:42053,42053
district 10012:2:23828,23828
disturb 10012:7:30365,30365,31505,32090,32103,34000,35811
ditch 10012:9:20723,20723,20725,20739,20753,20776,20803,20817,20841
dive 10012:13:258,258,30346,30363,31094,31172,31229,31232,31344,34278,34308,34437,34549
diverg 10012:4:24164,24164,32787,34686
divers 10012:2:20452,20452
diversifi 10012:5:727,727,15598,35591,39014
divid 10012:35:1983,1983,5956,6022,6438,7200,7211,7247,7352,8522,9201,9901,10762,11366,11623,14255,15741,16618,17805,18214,18332,19426,19746,22177,22965,24322,24842,25150,28557,28793,33830,34001,36700,36807,40842
divin 10012:14:597,597,2307,6386,6701,9104,14720,15111,29317,29945,29985,32595,33467,36408
divis 10012:6:5726,5726,33907,34015,38342,38369
dizzi 10012:3:6485,6485,31539
dodecatheon 10012:2:11878,11878
dodg 10012:3:31511,31511,40167
doesn 10012:2:25525,25525
dog 10012:8:1247,1247,3219,24519,25435,25504,32073,38318
dogwood 10012:4:10138,10138,18062,24666
dole 10012:3:9108,9108,40068
dollar 10012:5:17620,17620,26066,37632,37811
domain 10012:12:1842,1842,3075,26285,41194,41260,41431,41437,41598,41967,42438,42597
dome 10012:28:2040,2040,2119,2280,2333,2662,3200,5166,5189,5363,7811,12489,19414,20060,20117,20182,20316,22694,28083,29807,29856,29967,30016,30114,34143,35883,35884,36306
domest 10012:10:32845,32845,32855,32867,32944,33037,33507,34221,38667,39381
domin 10012:2:34662,34662
dominion 10012:2:25065,25065
don 10012:3:26680,26680,35514
donat 10012:21:41824,41824,41855,42255,42301,42417,42432,42454,42468,42483,42490,42508,42513,42515,42521,42535,42538,42549,42550,42555,42662
donner 10012:5:9388,9388,11543,11549,11567
donor 10012:2:42509,42509
doom 10012:4:7601,7601,20901,21981
door 10012:7:6832,6832,31839,36092,36627,37121,37304
dormant 10012:2:28006,28006
dot 10012:13:1358,1358,4824,7791,7886,13008,13322,16834,22228,24131,24325,24501,25313
dotag 10012:2:35441,35441
doubl 10012:5:17530,17530,19083,37312,38782
doubli 10012:2:31301,31301
doubt 10012:8:11017,11017,20819,30935,31910,34932,38344,39458
doubtless 10012:4:9319,9319,15501,34341
dougla 10012:46:81,81,191,240,886,12759,13103,13183,16002,16156,16712,17068,17085,17087,17433,17981,17983,18573,19381,20429,20507,23398,24735,24945,24949,25041,25087,25120,25217,25263,25447,25716,25784,26035,26087,26110,26141,26236,26248,26284,26393,26559,26678,27359,27583,40995
douglasii 10012:5:1141,1141,18576,24948,26262
dovetail 10012:2:31803,31803
downi 10012:2:28925,28925
download 10012:4:41519,41519,42686,42693
downright 10012:2:30549,30549
downward 10012:7:17463,17463,18853,19201,22187,22905,30740
doze 10012:2:9858,9858
dozen 10012:6:22924,22924,26491,33971,34298,37805
dozi 10012:2:32332,32332
dr 10012:4:17437,17437,42368,42406
drag 10012:4:22360,22360,25876,26415
dragon 10012:4:14854,14854,35528,39642
drain 10012:5:4110,4110,21223,28341,35121
drainag 10012:4:13375,13375,35156,35177
drape 10012:3:18682,18682,22739
draperi 10012:2:36378,36378
draw 10012:9:861,861,12066,13377,14599,15344,29415,31680,39097
drawn 10012:10:5542,5542,6239,7246,7945,18522,18690,20200,25576,27363
dread 10012:2:33303,33303
dream 10012:4:8713,8713,9807,10970
dreamili 10012:5:6423,6423,7092,9725,19324
dress 10012:3:10703,10703,19255
drew 10012:5:8380,8380,17255,17370,33789
dri 10012:3:9251,9251,40027
dribbl 10012:2:25814,25814
drier 10012:7:3328,3328,12780,19454,21032,21184,36761
driest 10012:3:3250,3250,37381
drift 10012:25:2830,2830,4414,4575,4742,4984,5007,5534,6295,7161,9608,9776,10828,13515,14178,15266,17605,27440,28807,28838,29170,30685,31723,32485,36998
drill 10012:5:9382,9382,17876,18901,20474
drink 10012:4:13600,13600,32165,36886
drip 10012:9:3988,3988,4672,19350,26446,29600,31841,36184,36358
drive 10012:10:5320,5320,13193,15016,25503,25714,26023,34237,34690,40162
driven 10012:12:4989,4989,5001,7397,9581,11171,20912,22024,22290,28519,29050,34249
drizzl 10012:2:28474,28474
drone 10012:2:10005,10005
droop 10012:15:1188,1188,10148,16636,16649,18861,20168,22917,22959,22964,23161,23914,24097,24852,39307
drop 10012:15:4598,4598,7535,15215,15750,22431,25915,28787,29845,30103,30231,30238,31025,31537,36350
drought 10012:12:1015,1015,1159,20423,21175,21474,21486,30444,30446,36899,40056,40215
drove 10012:4:10664,10664,32100,33336
drows 10012:2:18557,18557
drowsi 10012:3:32359,32359,39277
drowsili 10012:2:12909,12909
drudg 10012:2:24383,24383
drum 10012:2:30152,30152
drummond 10012:2:32551,32551
drunken 10012:2:36048,36048
dry 10012:53:1082,1082,1160,1234,4925,5149,6055,6162,6338,6447,6885,9466,12128,12606,13397,13413,14264,15199,15429,15480,15654,16941,18723,19503,21188,21387,22335,22344,23323,24335,24640,27213,28500,28852,29337,29690,29729,33313,34789,37036,37062,37225,37376,38387,38705,39801,39966,40001,40274,40341,40355,40851,40877
dryer 10012:2:15406,15406
duck 10012:9:13092,13092,13657,13689,13820,31080,31189,31451,31457
due 10012:6:3306,3306,5967,12324,24887,33755
dug 10012:3:8308,8308,25730
dull 10012:12:5531,5531,9813,9965,17180,22809,23930,29353,30803,32350,33041,40358
duls 10012:3:27951,27951,35681
dum 10012:2:32459,32459
dummi 10012:3:34704,34704,34716
dump 10012:3:6601,6601,35259
dun 10012:3:7042,7042,7366
durabl 10012:2:6904,6904
durat 10012:3:12017,12017,12381
dusk 10012:3:8548,8548,17413
duski 10012:2:29637,29637
dust 10012:17:1120,1120,1352,4398,4960,4966,5022,5029,5498,5515,16031,18466,20345,29749,29873,30143,37392
dusti 10012:8:9899,9899,15263,16060,27295,28789,33477,40067
dwarf 10012:36:231,231,233,993,3536,3757,6780,7056,10009,10620,10634,12742,12761,13777,13995,14702,16361,18358,22465,23425,23466,23530,23664,23668,23764,23807,23857,23874,24709,24794,24883,25720,26923,27161,33353,38545
dwell 10012:15:965,965,3711,7016,16109,16488,20487,26729,30434,30520,32630,32671,32865,34807,39420
dweller 10012:3:33652,33652,34971
dwindl 10012:2:37534,37534
dy 10012:2:40061,40061
