q1 10136:1:148982
qu 10021:1:10248;10974:2:8399,8402;10357:1:60997;10814:3:6799,50865,50881;10800:1:263855;10626:1:24308;10222:1:12039;10963:1:19832;10234:1:12187;11089:3:36430,36458,36599;12383:2:52929,53002;10345:1:21120;10350:1:39035;11112:2:3685,3716;10797:2:11908,33006;10959:5:5620,5663,10167,10750,11219;10554:2:1217,1806;10420:1:16148;11064:12:189,191,11831,11833,11860,11862,11865,11867,11916,11918,13080,13082;10636:39:1495,1788,1854,1964,2002,2113,2223,2479,2564,2651,2929,3129,27705,29694,30089,30126,30143,30586,35489,35711,43178,46604,47329,51913,55222,61852,61861,66423,77573,77582,87075,87080,87095,95231,111133,116080,116660,116886,144974;10811:1:1499;10435:2:28312,28315;10555:28:22722,26387,34721,34723,40031,67849,67858,67968,67972,68481,68542,68556,68663,68712,68994,69020,69306,69439,69903,69915,70584,70587,70768,71156,71334,71569,71884,71955;10031:3:11149,11156,13045;10042:1:27992;10693:1:36489;10321:1:4374;10069:2:2970,2992;10451:13:20752,50946,51605,52135,52515,52546,62908,67096,68312,68399,68947,73721,73727;11029:1:21754;11203:20:1426,1435,1474,1502,1507,1564,1569,1613,1617,1648,1692,1698,1871,1918,1948,1983,2228,16313,16339,16652;10861:3:30249,30353,30355;11202:2:41781,42365;10939:4:9434,22504,26920,55416;10865:2:2454,17957;10864:17:899,5930,5971,6215,6230,6243,6269,6276,6721,6970,6977,11620,13281,13327,13774,14386,14483;10694:1:16636;10079:1:11987;10047:1:5382;10090:2:26490,26521;11173:3:16690,28717,28725;10669:4:16339,16342,39149,39152;10467:27:10490,10734,10747,10768,10806,10828,10872,10904,11508,11523,11591,11619,11645,11663,11670,11678,11686,11709,13197,13244,13264,13284,13302,13346,13430,13471,13541;10665:11:3884,5745,7776,9013,9700,12617,26374,29103,30450,30466,30526;10738:1:150;10060:2:14669,29869;11222:1:5204;10677:2:4761,4806;10887:2:7299,7499;10845:1:2224;10058:1:30887;10716:1:2778;10700:1:59377;10714:3:7731,8973,9230;10489:1:10725;10884:2:23991,23997;10715:4:1250,3860,3945,3954;10202:13:28387,28440,28747,28759,28895,28911,28967,29302,29334,29365,29428,29650,29668;10389:1:12591;10606:64:2816,9016,9069,9221,9458,9608,9834,9957,9988,14014,14027,14145,17004,18097,18114,18409,20293,20309,20323,20336,20343,20356,20374,20500,20508,20525,20571,20639,21096,21137,21172,21191,21435,21499,21504,21509,21528,21778,22049,22115,22291,22296,22309,22369,22384,22738,23791,23800,24680,24725,24738,24761,24774,25134,25308,25348,25521,29987,30007,30025,33885,33909,33921,33996;10809:81:27469,27760,27764,28184,28216,28230,28462,28629,28678,28711,28820,28880,29062,29075,29196,29279,29315,29325,29328,29461,29474,29483,29487,29494,29602,29679,29788,29833,30013,30032,30097,30105,30268,30442,30666,30874,30957,30967,31035,31042,31086,31353,31384,31441,31628,31642,31716,32080,32096,32117,32155,32169,32180,32372,32405,32687,32701,32909,32916,32967,32989,33240,33757,33898,33911,33969,34099,34103,34487,34571,34682,34686,34719,34952,35596,35694,35734,35873,35982,36141,36596;10613:2:16095,16100;10149:3:602,15851,39918;12372:9:24047,24134,24219,24227,24287,24369,24380,24445,24538;10940:3:13613,19196,22347;10003:3:8881,9730,14046;10770:2:90018,90024;10402:2:12824,13788;11091:5:3619,3638,3651,3667,3688;11251:1:2788;11245:1:4278;10761:2:2732,3448;10039:2:45722,61373;10944:1:1722;11079:2:6087,27790;10367:2:4573,7808;10602:4:11920,22000,25278,30268;10548:1:12076;11118:1:4561;10038:1:17776;10762:3:11651,11680,11696
qua 10960:4:3504,3763,5717,5799;10357:1:59929;10343:1:21987;10800:101:2371,10642,20122,23274,27534,41741,54046,55682,55895,59864,68541,72960,79682,96928,111892,112364,113444,115704,117281,118139,132803,141349,141641,143423,143427,143476,145258,155697,160596,163300,163305,165511,167762,172585,175371,175610,183652,184305,187818,188262,188264,188523,189184,189335,194339,194342,208315,216326,217706,217941,218808,219152,219437,221657,223551,223982,224040,225074,225362,227667,227748,229374,230803,231675,232928,232931,233812,237073,237229,238712,241203,241794,242335,242711,242713,243492,243832,244217,244253,245482,250708,254170,254509,255673,256000,256132,257547,258640,258744,258945,259668,265934,266370,268105,268679,269388,270545,271502,271577,273690,274668;10801:1:30400;11074:1:786;11100:1:55750;10963:2:19351,27779;11248:1:85;10619:1:19335;10386:1:9597;10635:8:13578,17594,19711,37906,39424,41552,42677,43372;10807:2:5743,5745;10350:2:36574,66963;10636:6:32530,33061,39075,64240,76226,94197;10811:1:4948;10970:1:5476;11228:2:17781,18555;10693:1:22687;10069:2:2779,2830;10451:14:8181,34908,39394,39416,44924,44933,44942,55575,55705,65714,69161,69193,71697,71752;11029:1:26463;11217:1:6022;10120:1:8615;11202:1:37521;10336:1:40665;11160:2:6238,27979;11010:5:43367,46177,87762,103120,104098;10656:1:33591;10695:1:31666;10496:1:18881;10912:1:361;11173:1:31291;11204:1:34670;10708:1:24956;10665:1:3089;10314:1:3114;10060:1:5243;10896:1:728;10673:56:201,485,900,2766,3643,3966,4022,4053,6618,7999,8202,8414,8634,8678,9113,9279,9309,10675,10856,10869,14316,14973,17328,19270,20113,21560,21863,21965,22312,22435,22510,22889,22906,23722,23948,24385,24660,25310,25733,26181,26360,26398,26747,26790,27079,27220,27853,27992,28540,29095,29118,30245,30555,39979,44085,44311;10703:1:67056;10851:1:52805;10266:1:41528;10058:5:3671,11424,14959,18742,18769;10700:2:83826,85311;11026:1:7882;10489:1:18759;10885:7:6973,7771,26613,37383,39068,39235,39273;10891:1:21263;10715:3:5922,12365,14135;10955:2:42988,43327;11256:4:31934,34905,35082,39238;10835:23:31653,34475,34479,34483,34610,34917,34921,35044,35418,35422,35714,35934,36296,36328,36653,37043,37288,37298,37924,38027,39063,39508,55916;10149:1:14647;10388:2:1590,34624;10363:1:27024;10361:2:1327,9256;11080:2:56800,56829;10760:1:4004;10990:2:3309,16643;10364:2:394,12364;10833:1:3221;11251:1:64036;12374:1:27660;10991:2:31802,37275;11119:6:68813,73823,86064,94459,107541,112022;11125:1:35835;10818:1:2081;11044:2:830,7124
quaad 10990:1:30376
quaal 10739:1:2643
quaalen 10833:1:515
quaar 11160:4:10617,10780,47041,47062;11151:1:10237
quachet 10222:2:14713,14811
quachinchina 10636:1:48961
quack 10035:1:735;10801:2:30889,34885;10626:1:29425;10356:2:1967,1981;10418:2:2951,3808;10544:1:1981;10383:1:16938;10624:2:346,3288;10817:1:6066;11088:2:12828,16195;10355:1:10407;10427:2:7492,9261;11117:1:2517;11113:1:11203;12383:1:32187;10345:1:33998;10635:1:25464;10609:1:49086;10378:1:20377;10350:1:9511;11106:1:15865;10026:1:539;10018:1:3337;10151:1:19523;11065:1:777;10421:2:2719,2838;10435:2:11141,11768;10541:14:2932,2933,3008,3011,3016,3025,3026,3029,3038,3058,3070,3394,3402,3535;10794:4:2804,4605,9941,9993;10042:1:22374;10095:1:14273;10532:2:1851,37154;10136:4:33751,97069,97623,97633;11228:1:10107;10877:1:24779;11017:1:22960;10533:3:31015,34244,35028;10294:4:1308,2133,2134,4784;10451:2:49849,49945;10337:5:1628,1701,1702,1703,1706;10135:1:7474;10860:1:1805;10322:1:6288;11160:7:781,3381,7510,36675,43892,45785,47983;10939:1:37845;11004:3:24921,24925,25150;11010:5:25382,96064,96065,96084,96085;10695:1:16232;10865:2:480,616;10131:2:7061,7062;10125:1:27513;10079:1:32525;10709:1:11200;10251:1:1791;10331:2:4159,4279;10325:1:17497;10669:1:2977;10640:1:6429;10088:22:668,22281,23451,27948,28345,28580,28798,28815,34005,34022,34071,34166,34176,34223,34238,34255,34309,34310,34322,34892,35096,36717;11157:2:34268,34273;10116:1:24298;11156:7:5853,5854,5855,5863,8561,8562,8563;10935:1:25796;10921:2:2719,6021;11008:1:24678;10100:2:2813,26873;10699:8:216,10473,33797,39053,43895,45562,46298,52046;11155:1:19851;11031:3:2453,12458,21844;10111:1:8532;10851:4:20150,22073,22115,22429;10138:3:23348,23375,32402;10676:1:2224;11018:2:33412,60400;11026:1:18556;10489:5:25818,28173,28770,29530,29897;11218:1:3771;11230:1:22188;10648:3:11722,16664,20946;10846:2:4625,4820;10477:2:17532,21756;11068:1:25615;10389:3:6342,6392,9834;11097:6:3073,3074,3075,3076,3103,3174;10607:5:2886,2887,2888,4612,4613;10161:3:6141,23168,39545;11082:11:187,2431,8203,14033,16596,18020,22335,22948,22978,23271,40537;10388:1:22365;10217:2:8793,12845;10598:1:24085;10610:1:10443;11254:2:25199,26828;11122:1:3627;10826:1:5792;11251:2:60836,64108;12374:1:6574;10577:1:36323;10991:1:50790;10013:1:4183;10763:2:4265,4273;10005:1:15968;11119:1:42945;10818:4:8830,8869,8888,44221;10372:1:18346;10979:1:262;10038:1:12266
quackenbo 11159:1:33187
quackenboss 11103:1:34615;10576:21:187,630,668,764,780,894,1023,1057,1130,1215,1250,1720,2502,2606,2668,3342,3626,4043,4408,4576,5098
quackeri 10545:1:57412;10801:1:9020;10383:1:19893;10355:1:4463;10590:1:16989;10023:1:12409;10609:3:25091,25108,94156;10095:1:7094;11158:1:33843;11170:1:23820;10865:2:461,525;10079:1:7260;10867:1:31363;10640:1:7367;10456:1:8518;10046:1:31635;10088:3:15170,34009,34017;11157:3:34147,34295,34332;10920:1:20111;11031:1:2476;10892:1:30879;10138:1:32800;10266:1:7426;10489:1:2873;10648:1:18669;10884:1:37029;10477:1:10624;11068:2:7196,9768;10940:1:56919;10956:2:6740,6741;10826:1:6649;11251:2:63466,68882;10007:1:8472
quacksalv 10800:3:7170,58583,85301
quacumqu 10700:1:83824
quacunqu 10960:1:3748;10800:3:236103,238899,254318;10673:2:17254,26884
quad 10800:2:19160,187478;10381:1:4039;10027:4:10497,13948,14002,19849;10554:1:24094;10596:3:399,3688,11470;11160:2:10263,13081;10642:1:19403;10643:2:5785,6235;10766:1:5999;10601:145:90,320,448,541,567,569,577,724,750,803,887,916,968,1086,1139,1213,1229,1263,2299,2301,2352,2382,2397,2473,2484,2490,2499,2517,2527,2545,2558,2587,2608,2640,2645,2648,2651,2664,2677,2725,2729,2731,2752,2758,2774,2807,2829,2926,3325,3336,3362,3375,3493,3518,3521,3674,3687,3726,3951,3967,3992,3995,4004,4053,4059,4065,4068,4077,4128,4244,4256,4258,4271,4274,4276,4287,4306,4321,4326,4332,4364,4374,4379,5486,6587,6600,6613,6633,6639,6644,6650,6663,6680,6719,6846,6847,7026,7030,7042,7053,7069,7100,7113,7266,7282,7284,7287,7297,7315,7320,7323,7413,9813,9814,10371,10972,11154,12486,14923,15389,15976,16067,16149,16742,16752,16763,17093,17122,21275,21285,21499,21501,23166,23750,23954,24282,24454,26292,26327,26955,26959,26969,27364,27567,27569;10993:1:15033;11093:5:15960,15961,15963,15964,15966;10574:22:53325,53359,53449,53676,54162,54166,54277,54280,54581,54763,54773,55155,55266,55588,55599,55858,55969,56237,56851,57177,57667,57812
quadam 10800:9:147563,222462,241162,242026,246670,256531,259218,264990,267001;10673:6:20103,20723,21897,23420,30944,31090;10851:1:53164;12372:1:9410
quadequina 10222:5:5261,5427,6225,7383,26255
quader 10085:1:29684
quadi 10848:18:2557,2594,2626,3068,3118,3124,3200,3213,3285,3403,3437,3457,3473,3487,3518,3617,3683,3692;10939:1:36432;10890:15:15143,22703,22719,23730,23748,24089,24124,24283,24296,24473,24552,24606,24632,25996,26235;10846:6:26631,28500,28856,28916,29586,31642
quadl 10419:4:282,290,414,1565;10127:1:561
quadr 10636:1:129740
quadra 10800:2:64332,234624;10997:4:23544,24815,24828,25254
quadrada 11029:1:13217
quadragenario 10800:1:254949
quadrageni 10673:1:20971;10835:3:39634,39668,39674
quadrageno 10673:1:21051
quadragesimam 10058:1:7011
quadragesimo 10800:1:240638;10673:1:21085
quadragesimum 10673:1:37453
quadraginta 10800:1:241795
quadraint 10800:1:234609
quadran 10550:1:52866
quadrangl 10343:2:2062,55909;10800:1:29247;10342:4:5547,5584,12789,12852;10020:1:4845;10355:1:19910;10027:16:7962,8493,8615,8999,10322,12832,13861,15209,19073,21468,21861,22401,24185,24435,25205,26409;11113:2:3082,4656;10621:1:22757;10797:1:22590;10554:1:24328;10434:1:43265;11058:1:25271;10622:1:38733;10743:1:779;10718:1:5584;11229:1:21683;10719:2:3792,3816;10531:1:24072;10120:3:21372,21451,34361;10478:1:17847;10939:7:2965,6829,26266,38800,38807,42294,51123;10905:10:8469,8488,8518,9128,9130,31142,31934,31984,32844,32887;11212:5:25333,28278,28290,28429,57407;10643:2:4607,5292;11039:4:45586,48651,68972,71515;11159:7:17151,17169,17272,17345,17437,17521,18334;10899:1:17602;10669:1:54060;10062:1:333;11154:1:18829;11197:1:4870;11222:1:227;10128:1:53501;10100:1:5420;10699:1:36833;11179:1:5640;11019:1:14557;11041:1:19357;12372:1:2065;10940:1:29574;10003:1:7985;10638:2:5644,10520;10770:1:6446;11250:2:45874,45993;10588:1:17717;10985:1:33797;10993:1:14706;10950:2:2718,2750;11045:3:2226,2407,2480;11247:1:14256;10818:1:1643;11252:1:13430;10548:1:5059
quadrangular 10392:1:11175;10636:1:96716;10136:1:70932;10484:1:6850;10479:5:5322,5852,20682,30647,34980;11203:1:30752;10939:1:55433;10905:1:31067;10118:1:27808;11039:2:43554,46565;10456:1:26944;10720:1:3567;10103:1:34705;10128:1:14906;10924:2:8742,11829;10266:1:42545;11242:1:41233;12370:1:34778;10600:2:29745,86156;10367:1:4410;10818:1:28195
quadrant 10948:1:2439;10545:1:45109;10800:2:100420,100793;10626:1:28785;10803:3:46131,53046,56951;10620:1:2563;10998:1:47276;10636:1:143433;10532:2:8315,8324;11229:2:13344,34517;11164:1:8622;11010:1:30145;10327:1:34368;10655:6:2879,2893,19112,34947,42899,53047;10103:1:57648;10842:4:10688,10713,11084,13171;10672:3:27120,27123,27182;10908:1:17244;10920:1:33017;10772:4:12701,12750,17607,17621;11243:3:5715,29372,43378;10997:1:17695;11094:1:518;10770:1:821;11119:1:39093;10165:1:27947;11087:1:32393
quadrantem 10699:1:5552
quadrat 10343:2:7007,15955;10550:1:34523;10803:1:2154;12383:1:30635;10345:1:8373;10031:1:11970;11010:1:37007;11039:1:36373;10671:1:11436;10717:1:12359;10772:1:12681
quadrata 10800:1:216313
quadratinschrift 10636:1:125264
quadrato 10803:1:15268
quadratu 10811:3:13423,13493,13528;10657:3:32265,33963,58041;10114:2:43159,44373;10890:6:16679,22138,22459,22798,26444,27404
quadratum 10800:1:100366
quadratur 10800:3:7448,225253,225338;10550:1:31450;10484:1:15135
quadrenni 10733:1:34912;10444:1:29123;11154:1:32676;10760:1:9043;10951:1:29907
quadrennium 11134:1:927
quadrert 10351:1:774
quadri 10391:1:24569;10991:1:24738
quadrian 10598:1:17715
quadricep 10453:2:8893,38266
quadricolli 11155:1:1362
quadrienni 10583:1:55256;10636:1:145032
quadriga 11080:1:56492
quadrigi 11010:1:89986
quadril 12385:1:19912;10343:7:6589,6641,6652,6674,16520,18270,77552;10587:1:36442;10355:1:13853;10590:3:23398,25605,25809;10345:1:15221;10540:2:26951,27026;10555:2:5438,21608;10136:2:10173,123434;11229:1:12929;10719:1:4987;10068:3:13717,14382,14643;10905:1:36622;11213:1:3953;10131:2:7438,12552;10643:2:23056,23306;11039:1:16590;10669:1:3097;11012:1:7412;10456:1:18441;10062:1:44819;10712:1:15582;10471:1:21610;11196:1:7754;10539:1:4733;10924:1:46587;10892:2:42875,43089;10138:1:1237;10766:13:11478,11483,12791,13338,13501,13766,13857,13905,13968,18470,114146,116755,116757;10149:2:8760,9335;10003:1:14324;10980:3:3276,4156,24971;11085:1:8933;11251:1:27555;10978:2:7687,7873;10950:1:5120;11087:1:26874
quadrilater 11100:1:81266;11203:2:28305,29276;10120:2:27152,31867;10128:2:54902,55004;10770:1:41960;10985:1:33796;11118:3:26490,26504,26596
quadrilla 10930:1:16481
quadrillion 10744:1:8828;10441:1:7753
quadringenti 10800:1:272330;10673:1:14169
quadrio 10314:1:1187
quadrip 10574:1:92904
quadripart 10800:2:142912,270887
quadripartit 10800:1:176773;10088:1:14788;11026:1:27160
quadripartita 10574:1:97113
quadripartito 10800:1:225379
quadripartitum 10800:1:257723
quadrirem 10907:3:25407,59099,69470
quadrisyl 10708:1:24059
quadrivitatu 10012:1:26258
quadrivium 10636:1:49780;10531:1:19886;10642:1:16395;10708:1:8472;11134:1:1389
quadroon 10234:20:391,443,458,536,563,724,2092,2625,2810,2939,4632,6041,7166,7305,7622,11728,15527,15570,20441,20855;10619:4:11300,19364,19381,20502;11103:1:28284;10345:5:501,536,1172,1228,7227;10621:2:6306,28171;10637:1:16836;10041:1:11847;10865:1:34693;10669:1:28573;10920:6:23040,23804,23830,23868,24281,32170;10995:1:5892;11057:7:12164,25652,25742,27326,27545,28103,28419;10770:1:46041;10210:1:8486;11053:2:2482,10783;12374:1:10432;10549:21:1595,1610,1798,2048,2447,4424,5550,5553,6590,11959,16467,17062,17106,17212,17252,18669,18959,29322,38163,40987,41079
quadru 10667:1:10390
quadruccio 11173:1:16809
quadrugenarium 10803:1:86825
quadrum 10800:1:261218
quadrumana 10962:1:2873;10642:1:26744;10649:1:16612;10770:1:29880
quadrup 10035:1:4140;10343:2:12714,22321;10800:1:67686;10626:1:26100;10587:1:47020;10803:1:36124;10427:1:12000;11117:2:6464,6468;10023:3:2083,3592,10458;10769:2:29317,29339;10635:1:14974;10350:1:23329;11112:1:4883;10797:1:20229;10434:1:23491;10391:1:2851;10636:1:106899;10435:1:3273;10095:2:4817,29573;10136:21:391,4916,6890,29167,29259,60414,60419,60571,60687,60720,70202,78210,78718,85031,93998,94074,94379,94679,104561,117381,198153;10484:1:32171;11203:5:4243,9700,22140,41991,42579;10135:1:18977;11158:2:409,446;10695:1:20871;10482:1:18776;11039:3:4607,8570,31560;11159:1:7577;10079:1:11759;11173:1:5322;11013:1:297;10867:1:23753;10456:1:22232;10907:1:48946;10091:1:4300;10671:3:3192,6410,14184;10842:2:12583,14442;10857:1:15168;10712:1:46798;10060:6:36095,36228,36234,36248,36255,37134;11154:1:30796;10316:1:3341;10854:1:10183;10539:1:2334;10475:1:2605;10139:2:14698,14703;11227:2:7194,7195;11233:1:1074;10851:1:39360;11232:1:5256;10890:1:34629;11219:1:2118;10766:3:94276,116758,117680;10772:1:25030;11134:2:10377,10775;10161:1:22855;11121:1:3846;10940:1:18018;10997:2:22136,28362;10765:1:13346;11122:1:46691;10770:1:88630;10012:2:26138,35033;10760:1:15119;10748:2:18235,18236;11126:4:14211,14398,14400,14500;11085:1:14834;11091:1:6269;11251:1:55413;10985:2:30488,37267;11119:14:3199,4214,14347,54018,54092,54237,54445,86461,86810,86820,116479,116782,116803,116844;10165:3:25585,28490,34068;10818:1:30588;10616:1:27519;11087:2:25713,25763
quadruped 10343:1:21913;10136:2:25835,60590;10673:1:20782;10667:1:10392;10991:1:11138
quadrupedum 10060:1:5177
quadrupl 12385:1:1181;10357:1:5855;10815:1:2096;11100:1:73934;10341:2:2046,59178;11103:1:18017;10027:1:27033;10769:1:4771;10386:1:9306;10147:1:64583;10807:2:51385,52967;10350:1:13002;10422:1:5534;10797:1:2015;10998:2:2038,38121;10583:3:2059,15050,46680;10031:1:11500;11200:3:16991,17158,17208;10877:1:18034;10693:1:32325;10861:1:32308;10905:1:6015;10865:1:20326;10641:1:32209;10668:1:21559;10077:1:3465;11157:1:10793;10103:2:2621,26274;10843:2:14750,14905;10857:1:30777;10128:2:16135,24882;10100:1:25825;10883:2:5165,11196;11155:1:11537;10266:1:43892;10933:1:2021;11231:2:1514,1575;10028:1:5134;10766:1:31892;10809:3:7588,17189,20725;12372:1:24714;11094:1:689;10638:1:17502;11122:1:30691;10957:1:18563;12375:2:19443,19460;10166:1:14381;10549:1:2275;11079:1:25242;10165:1:5119;10951:1:33535
quadruplator 10800:1:16033;10828:1:42305
quadruplet 11029:3:3971,4031,8320
quadruplex 10649:1:40247;12375:3:7369,7390,22050
quadu 10800:1:242068
quae 10960:6:3550,5769,6157,6521,9342,18732;11101:1:5561;10357:2:56223,66344;10343:2:21973,22058;10800:331:2030,2089,2152,2191,2228,2414,2419,4913,5656,5689,6158,6754,6759,6805,8213,8217,10893,10895,12374,18393,19096,19792,19795,20824,21548,22099,31619,34155,38202,39998,42817,43006,49580,61186,61284,61469,61473,61759,64174,66734,68637,68979,70056,71875,73991,74286,79712,79812,81796,82381,83962,84648,87044,89392,92782,92894,93334,93340,93644,93655,96911,97835,100150,100589,101628,102170,104243,105664,106365,106371,106373,112626,113919,115514,115979,118502,119304,119446,124243,128330,131358,132694,134092,134105,138488,138762,141044,141234,141491,141652,142944,143923,144839,147249,147546,148470,149175,149675,150572,152743,153535,155074,155142,157824,158027,158322,159076,159198,159355,160930,163127,163135,163432,163454,166047,166247,168001,168242,169015,169017,169018,169623,170411,171238,171395,171801,173375,173727,174495,175041,175097,175100,175378,175381,175503,178428,178433,181552,184350,185373,187763,188055,188693,188915,193164,193432,193439,196178,196185,198580,201884,202661,203163,203231,203697,203833,205629,211644,212055,214923,214934,215550,216187,216575,216848,216955,217319,217609,217759,218112,218874,219228,219881,219925,220242,220281,221181,221192,221293,221854,222021,222034,222473,222723,223276,223725,225940,225983,226292,226295,226436,226743,226970,226979,227171,227381,227426,227714,228038,228306,229380,229389,229545,230295,230451,230484,231482,231542,231741,231797,232119,232407,234160,234441,235723,235937,236390,236423,236456,236525,236625,237150,237696,237717,237748,238133,238165,238375,238519,238690,238830,238944,240356,240737,240853,240859,241404,241689,241993,242547,243119,243242,243996,244088,244371,244890,245017,245143,245234,245237,245275,245394,245474,245486,245645,246086,246123,246486,246686,247096,247838,248044,248726,248733,249205,249326,249329,249343,249351,250222,250768,251031,251036,251414,251518,251595,251671,251699,252076,252406,252503,252519,253182,253288,254458,254517,254916,255182,255593,255779,255980,256278,256889,257287,257499,257503,258021,259004,259110,259113,259286,260688,260981,260986,261158,261170,261611,261710,262724,262729,262863,263987,264941,264974,265189,267677,268575,268862,269326,269629,270082,270089,270099,271052,271409,271438,271980,272096,272103,273051,274249;10801:1:22640;10587:1:9228;10550:4:2347,2534,2548,3893;11100:4:16535,19143,21139,21186;10590:1:2819;12383:1:30485;10635:1:13177;10350:2:67201,67239;10636:9:22825,22874,38067,38431,38438,38454,76297,144987,145008;10451:4:54815,55666,55836,64143;11029:2:26502,26595;10120:2:8621,8626;10336:2:2391,50122;10939:2:10474,27974;11170:1:31446;11010:21:8673,8921,19531,22814,26322,52898,55161,58524,61051,71920,71925,73027,73030,73049,79662,80911,92410,101093,104595,108346,111888;10865:1:27196;10694:1:6043;10455:1:20629;11173:1:31287;10655:1:4676;10708:1:5162;10734:2:3915,5739;10088:1:18700;10467:4:1859,6584,45635,46885;10060:1:13449;11154:1:240;10854:1:5346;10673:135:132,179,185,586,626,2931,3046,3169,3258,3326,3391,3400,3957,6626,6799,6830,6879,7902,8003,8574,8577,8962,9064,9149,9404,9705,9989,10135,10270,10555,11077,14123,14478,14661,14785,15137,17166,17464,17619,19039,19050,19206,19292,19831,19877,20003,20110,20425,20476,20522,20525,20876,21035,21230,21506,21520,21633,21636,21755,21768,21914,21921,21954,22029,22039,22065,22119,22172,22199,22240,22288,22504,22517,23617,23625,23838,24577,24612,24822,25473,25525,25794,25797,26120,26353,26556,26568,26589,26831,27029,27086,27169,27209,27293,27322,27437,27440,27509,27587,27742,27842,27961,28118,28138,28164,28194,28245,28264,28410,28424,28614,28979,29009,29091,29207,29362,29368,29446,29503,29540,29851,30008,30011,30127,30314,30415,30503,30935,30946,30974,30993,31230,37389,45538,45570;10920:1:37335;10703:4:83401,83544,84056,84527;11025:1:3657;10851:1:52838;10845:1:4006;10676:2:14924,14933;10925:1:35438;10058:13:251,1236,9875,11279,13240,13242,13247,15329,18755,21593,26857,28632,28641;10489:12:9941,10004,10009,10527,11320,13555,13559,14996,15011,20889,20892,27919;10660:1:10676;10884:1:43680;10955:2:39356,42546;11256:5:77,79,19014,37773,40159;10835:22:12568,12742,17060,17063,17107,17448,31756,31777,34787,35155,35624,36620,36938,37111,37114,37903,38654,38957,39286,39521,39872,39885;12372:1:8985;11080:1:56447;10163:2:1204,1464;10367:1:65;10602:2:35884,35983;11044:1:646;10574:1:7227
quaebick 11100:3:53126,75325,101688
quaecumqu 10800:1:224664;10700:1:83837
quaecunqu 10800:4:244977,251563,252903,252975;10088:1:26167;10060:1:24604
quaedam 10800:39:2024,2392,61183,61311,75922,75924,98940,116200,133215,133225,133231,170187,196835,196837,215548,215786,215799,223455,223457,228139,228142,228144,228148,228152,229391,234554,236441,236444,236446,236448,236451,236453,237639,241831,244469,246667,255287,256088,267802;10636:1:99288;10673:7:3040,7095,8310,8430,14137,19854,21531;10851:2:52668,68191;11256:1:26874;10388:1:34105
quaelibet 10800:3:194200,224159,266919;10673:1:123
quaenam 10800:2:9181,257764
quaepiam 10800:1:222457
